authorID,rank,name,PaperCount,CitationCount,year
2055247794,14728,A. El Abbadi,96,3270,2010
1965004193,13379,Aaron Hertzmann,163,15984,2018
2129619966,14525,Aarti Gupta,224,5526,2017
1985629368,13042,Abigail Sellen,300,15832,2016
2115569417,13688,Abraham Kandel,378,9217,1998
2251809919,13220,Abraham Silberschatz,246,13548,1996
2136484952,13759,Adam Finkelstein,122,9484,2014
2132461468,12835,Adam Smith,325,23339,2020
2201755339,11381,Adi Shamir,238,63949,2020
457026902,14003,Adnan Darwiche,217,9508,2018
2213385919,12150,Adrian Perrig,366,45194,2016
2110155496,13822,Ahmed E. Hassan,316,14683,2022
2057816297,13431,Ahmed K. Elmagarmid,294,16516,2012
1208251994,13936,Ahmed Sameh,241,4767,1999
2228514421,14089,Aidong Zhang,423,8416,2017
660900409,14314,Akinori Yonezawa,223,4349,1999
2000084407,13619,Alan Bundy,617,9686,2014
2472388376,13690,Alan Edelman,160,12164,2020
1970116039,13486,Alan H. Barr,70,9452,1995
2443838674,16515,Alan Kay,29,1130,2008
727408494,15534,Alan W. Biermann,66,1014,2000
2743143419,15106,Albert G. Greenberg,47,1583,2006
2250310737,14057,Albert R. Meyer,115,4748,2000
681596721,12014,Alberto Sangiovanni-Vincentelli,1016,39038,2014
2110739081,13666,Alec Wolman,89,8295,2018
2067453598,13147,Alex Aiken,293,17081,2008
2112598219,13734,Alex C. Snoeren,167,8368,2018
1459957267,14331,Alex Pothen,127,4420,2022
2115607830,13244,Alexander L. Wolf,271,12365,2006
2115388567,13328,Alexander Vardy,243,12248,2017
2244150349,13881,Alfons Kemper,371,8486,2022
2380581373,11817,Alfred V. Aho,137,30292,1996
2105930983,14213,Alfred Z. Spector,57,1969,2006
2121878995,13918,Alistair Sinclair,105,7487,2012
2009650199,14353,Alla Sheffer,137,7227,2021
2130144971,13682,Allan Borodin,134,8196,2014
2293769500,14801,Allan Gottlieb,70,1591,2004
935383222,13691,Allison Druin,251,9176,2016
2147783234,13337,Alok Choudhary,675,16648,2009
2154833104,12932,Alon Halevy,217,22880,2006
2274593112,15074,Ambuj Goyal,36,1787,2002
