authorID,rank,name,year,fellow,compareAuthorID,deviation,hIndex,CorePaperCount,CoreCitationCount,CorehIndex,PaperCount,CitationCount
2055247794,14728,A. El Abbadi,0,True,0,0.0,31,13,493,10,97,3270
1965004193,13379,Aaron Hertzmann,2018,True,0,0.0,57,93,9152,38,197,15984
2129619966,14525,Aarti Gupta,2017,True,0,0.0,41,123,3060,31,248,5526
1985629368,13042,Abigail Sellen,2016,True,0,0.0,66,118,6478,35,321,15832
2115569417,13688,Abraham Kandel,1998,True,0,0.0,43,201,5648,32,382,9217
2251809919,13220,Abraham Silberschatz,1996,True,0,0.0,55,148,8211,43,264,13548
2136484952,13759,Adam Finkelstein,2014,True,0,0.0,46,83,7617,36,130,9484
2132461468,12835,Adam Smith,2020,True,0,0.0,69,178,6253,42,389,23339
2791155272,16367,Adele Goldberg,1994,True,0,0.0,6,13,369,6,16,373
2201755339,11381,Adi Shamir,2020,True,0,0.0,81,158,30693,54,309,63949
457026902,14003,Adnan Darwiche,2018,True,0,0.0,46,212,8127,43,269,9508
2663512350,15526,Adolfo Guzman,2002,True,0,0.0,5,18,376,5,27,457
2213385919,12150,Adrian Perrig,2016,True,0,0.0,81,270,31346,70,399,45194
2110155496,13822,Ahmed E. Hassan,2022,True,0,0.0,68,216,9606,57,334,14683
2057816297,13431,Ahmed K. Elmagarmid,0,True,0,0.0,56,156,7083,39,302,16516
1208251994,13936,Ahmed Sameh,1999,True,0,0.0,39,128,2722,28,253,4767
2228514421,14089,Aidong Zhang,2017,True,0,0.0,39,327,6502,35,451,8416
660900409,14314,Akinori Yonezawa,1999,True,0,0.0,32,148,2993,27,241,4349
2000084407,13619,Alan Bundy,2014,True,0,0.0,39,551,8968,38,645,9686
2472388376,13690,Alan Edelman,2020,True,0,0.0,38,113,7482,28,188,12164
1970116039,13486,Alan H. Barr,1995,True,0,0.0,32,40,5584,17,73,9452
2443838674,16515,Alan Kay,2008,True,0,0.0,18,14,777,13,29,1130
727408494,15534,Alan W. Biermann,2000,True,0,0.0,18,52,609,16,67,1014
